Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Price
AirAsia India,2024-02-25,Guwahati,Indore,GUW-NAG-MUM-RAI-IND,01:39,14:15,12:36:00 PM,3 stops,14170
TruJet,2021-03-01,Nagpur,Pune,NAG-PUN,06:48,03:21,08:33:00 PM,non-stop,10295
Star Air,2024-04-11,Ahmedabad,Varanasi,AHM-PUN-BAN-VAR,08:54,15:50,06:56:00 AM,2 stops,9165
SpiceJet,2019-03-13,Patna,Indore,PAT-LUC-GOA-BHU-IND,18:09,08:23,02:14:00 PM,3 stops,9944
SpiceJet,2023-06-22,Raipur,Mumbai,RAI-GOA-MUM,15:05,05:52,02:47:00 PM,1 stop,9474
SpiceJet,2025-03-25,Kolkata,Bhubaneswar,KOL-BHU,11:09,03:49,04:40:00 PM,non-stop,5106
GoAir,2025-10-15,Indore,Surat,IND-SUR,22:38,02:12,03:34:00 AM,non-stop,9730
SpiceJet,2020-10-02,Ahmedabad,Bangalore,AHM-GUW-BAN,16:15,12:11,07:56:00 PM,1 stop,6436
Air India,2023-05-03,Lucknow,Guwahati,LUC-NAG-GOA-GUW,15:25,07:28,04:03:00 PM,2 stops,7770
GoAir,2025-12-01,Bangalore,Kolkata,BAN-KOL,06:49,08:44,01:55:00 AM,non-stop,3000
Alliance Air,2021-02-04,Delhi,Jaipur,DEL-PUN-JAI,20:33,10:46,02:13:00 PM,1 stop,5394
Star Air,2023-08-06,Guwahati,Indore,GUW-LUC-IND,23:43,14:15,02:32:00 PM,1 stop,7067
Star Air,2021-09-15,Lucknow,Bangalore,LUC-KOL-VAR-BAN,15:07,17:32,02:25:00 AM,2 stops,10415
GoAir,2024-06-02,Raipur,Guwahati,RAI-NAG-BAN-KOL-GUW,01:33,00:24,10:51:00 PM,3 stops,17272
AirAsia India,2019-11-03,Nagpur,Mumbai,NAG-CHE-AHM-SUR-MUM,09:04,06:32,09:28:00 PM,3 stops,12749
Alliance Air,2022-10-16,Goa,Varanasi,GOA-JAI-BHU-VAR,21:49,10:05,12:16:00 PM,2 stops,10971
TruJet,2022-09-08,Ahmedabad,Jaipur,AHM-NAG-BHU-JAI,16:35,05:59,01:24:00 PM,2 stops,10015
